,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
175436,2011-03-12 19:22:45,2011,3,12,37.227,142.203,4.9,17.3,Japan,"[2008, 2013)",1,2011-03-07 19:22:45,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.23623931777482,388621.2543884353,23.72541351078232,0.546,0.5855657986111111,78.72898821737219,5.248599214491479,6,6,0,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175438,2011-03-12 19:32:48,2011,3,12,37.114,142.827,4.8,35.0,Japan,"[2008, 2013)",1,2011-03-07 19:32:48,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.30666897630425,388583.7747091781,23.727266467380662,0.546,0.5859077777777778,78.82563931517342,5.255042621011561,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175439,2011-03-12 19:38:05,2011,3,12,35.791,141.4,4.8,14.2,Japan,"[2008, 2013)",1,2011-03-07 19:38:05,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.34369418650961,388564.0714615421,23.72824057557581,0.546,0.5860875578703704,78.87644926211037,5.258429950807358,6,6,0,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175441,2011-03-12 19:45:18,2011,3,12,-6.172,154.38,5.1,57.4,Papua New Guinea,"[2008, 2013)",2,2011-03-07 19:45:18,3,2,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.39426805407717,388537.15819268906,23.729571139766666,0.546,0.586333125,78.94585212338389,5.263056808225592,6,6,2,2,3,7,8,9,4,1,18,16,5,5,1,5,3
175443,2011-03-12 19:59:00,2011,3,12,38.047,142.827,4.8,15.3,Japan,"[2008, 2013)",1,2011-03-07 19:59:00,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.4902766433163,388486.0664906171,23.73209706070172,0.546,0.5867993055555556,79.07760536118256,5.271840357412171,6,6,0,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175445,2011-03-12 20:08:26,2011,3,12,35.754,141.754,5.0,36.3,Japan,"[2008, 2013)",1,2011-03-07 20:08:26,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.55638474734226,388450.8865595068,23.733836320129026,0.546,0.5871203009259259,79.1683259604454,5.277888397363027,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175446,2011-03-12 20:09:56,2011,3,12,36.747,143.993,5.1,35.0,Japan,"[2008, 2013)",2,2011-03-07 20:09:56,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.56689663667502,388445.2925775281,23.734112880815346,0.546,0.5871713425925926,79.18275149743066,5.278850099828711,6,6,1,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175448,2011-03-12 20:14:32,2011,3,12,38.892,144.751,5.0,4.2,Japan,"[2008, 2013)",1,2011-03-07 20:14:32,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.59913309729546,388428.1376994601,23.73496100025339,0.546,0.5873278703703704,79.22698981085212,5.281799320723474,6,6,0,2,6,7,8,9,4,1,18,16,5,5,1,5,3
175449,2011-03-12 20:16:56,2011,3,12,25.331,-109.465,5.0,10.0,Mexico,"[2008, 2013)",1,2011-03-07 20:16:56,3,59,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.61595212022786,388419.1873282942,23.735403497351506,0.546,0.587409537037037,79.25007067002852,5.283338044668568,6,6,0,2,5,1,8,9,4,1,18,16,5,5,1,5,3
175452,2011-03-12 20:41:27,2011,3,12,37.13,141.29,4.9,45.1,Japan,"[2008, 2013)",1,2011-03-07 20:41:27,3,5,71,40.0877731033373,392957.522752243,23.5110328854366,4.50311951984226,67.5467927976339,48.78776311143315,388327.75680062047,23.739923728124577,0.546,0.5882437847222222,79.48584805786534,5.299056537191023,6,6,2,2,6,7,8,9,4,1,18,16,5,5,1,5,3
